ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-0-000000,digeve42@delta-post.net,17-04-2025,scale,GZSSMWGC,no
,kobole39@corvus.org,15-01-2025,scale,UHGLXEJJ,yes
SGN-0-000002,demopi79@brightmail.dev,01-01-2025,growth,XBRBA00L,no
SGN-0-000003,felalo24@eastwind.co,07-07-2024,growth,,yes
SGN-0-000004,nuvoge39@brightmail.dev,28-09-2024,starter,,no
SGN-0-000005,rekabu95@arcline.io,18-05-2025,scale,TTHWYBK0,yes
SGN-0-000006,gigigu13@corvus.org,11-10-2025,starter,L9SCYE4P,no
SGN-0-000007,voduni22@corvus.org,15-07-2024,growth,PMDMRJ9W,yes
SGN-0-000008,totume37@arcline.io,19-02-2025,scale,W6N49NF5,no
SGN-0-000009,kovusu10@brightmail.dev,09-10-2024,starter,,yes
SGN-0-000010,gomude25@arcline.io,13-12-2025,growth,,no
SGN-0-000011,litoru47@brightmail.dev,23-08-2025,starter,SCJXXVE7,no
SGN-0-000012,puradu39@arcline.io,23-04-2024,growth,PQQ00PO7,no
SGN-0-000013,bubizi57@eastwind.co,24-06-2025,scale,,no
SGN-0-000014,@arcline.io,06-01-2024,growth,,yes
SGN-0-000015,sadako24@delta-post.net,26-05-2025,scale,5YKQI11A,yes
SGN-0-000016,dosoro74@corvus.org,28-10-2025,scale,,yes
SGN-0-000017,fuvote72@delta-post.net,11-09-2025,scale,,no
SGN-0-000018,sifevu37@corvus.org,22-10-2025,scale,8NK9N3W6,yes
SGN-0-000019,vuzane83@eastwind.co,02-06-2024,scale,WFOASXPF,yes
SGN-0-000020,tacafe88@arcline.io,11-05-2025,scale,3MYKYCUU,no
SGN-0-000021,vamona88@eastwind.co,09-09-2024,scale,GW930XSL,no
SGN-0-000022,nufote48@eastwind.co,10-05-2025,starter,,yes
SGN-0-000023,cakene16@arcline.io,10-03-2025,scale,QSS94GAE,yes
SGN-0-000024,pizago94@delta-post.net,05-10-2024,growth,,yes
SGN-0-000025,romini91@delta-post.net,27-02-2024,starter,,no
SGN-0-000026,fefodi14@brightmail.dev,03-11-2025,starter,R4NZ5YN2,no
SGN-0-000027,golova55@brightmail.dev,10-12-2025,starter,R7SUGODM,yes
SGN-0-000028,torivu67@brightmail.dev,23-12-2024,starter,M3ICNDAE,yes
SGN-0-000029,lodibu53@delta-post.net,16-04-2025,scale,,yes
SGN-0-000030,vukovu59@arcline.io,25-12-2024,starter,,yes
SGN-0-000031,cuvuve46@eastwind.co,08-07-2025,growth,JJKZZS5T,no
SGN-0-000032,pavura17@corvus.org,06-02-2024,growth,F6H3ZU40,yes
