ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-4-000000,biraba30@eastwind.co,21-07-2025,growth,GEB4O2Z1,yes
SGN-4-000001,nalino87@corvus.org,15-01-2025,starter,,no
SGN-4-000002,kotuni61@brightmail.dev,16-06-2024,growth,KF37YL1T,yes
SGN-4-000003,godaza36@brightmail.dev,27-09-2024,growth,OLFLNX18,no
SGN-4-000004,nonolo47@arcline.io,16-02-2025,starter,3L5A6HMZ,yes
SGN-4-000005,pinuza97@corvus.org,27-03-2024,growth,,no
SGN-4-000006,logeba32@brightmail.dev,10-03-2025,scale,EL19PRQF,yes
SGN-4-000007,rekune54@arcline.io,21-10-2024,starter,,no
SGN-4-000008,zebito48@eastwind.co,11-11-2024,starter,,no
SGN-4-000009,fotifi11@eastwind.co,06-10-2024,starter,D4EV0OVC,yes
SGN-4-000010,lesari39@eastwind.co,25-02-2024,scale,ECN8RGEH,no
SGN-4-000011,bevobo16@corvus.org,12-04-2024,growth,KJAV64OE,yes
SGN-4-000012,tutaku47@arcline.io,20-02-2025,growth,,no
SGN-4-000013,tufuli91@brightmail.dev,01-06-2024,starter,,yes
SGN-4-000014,serisa53@brightmail.dev,16-06-2025,growth,,no
SGN-4-000015,sugeni36@brightmail.dev,13-07-2025,starter,LNIY3NWM,no
SGN-4-000016,legoto11@delta-post.net,09-01-2024,growth,,yes
SGN-4-000017,mesusa38@arcline.io,23-04-2024,starter,,yes
SGN-4-000018,meramo17@arcline.io,15-07-2024,starter,3WJH1JTF,yes
SGN-4-000019,kupabu41@corvus.org,01-07-2024,growth,I0Y1WC7P,no
SGN-4-000020,kisodo95@eastwind.co,06-02-2025,growth,BQFYB5NG,no
SGN-4-000021,niruti85@delta-post.net,05-08-2025,growth,,no
SGN-4-000022,binucu88@delta-post.net,19-03-2024,starter,18M8FA59,no
SGN-4-000023,bivala81@corvus.org,04-03-2024,scale,,yes
SGN-4-000024,navebu94@brightmail.dev,23-10-2024,starter,AZPMMTK4,no
SGN-4-000025,vokevu48@eastwind.co,02-09-2024,growth,19Z2K2ON,yes
SGN-4-000026,cezota70@arcline.io,27-11-2024,growth,IUIZUBCC,no
SGN-4-000027,luzulo17@corvus.org,05-04-2024,starter,,yes
SGN-4-000028,butige71@eastwind.co,18-04-2024,starter,0LF6WY21,no
SGN-4-000029,nanazi14@delta-post.net,24-02-2024,starter,,yes
SGN-4-000030,bigevu39@eastwind.co,27-06-2024,scale,FZ4B76U8,no
SGN-4-000031,gosadu46@brightmail.dev,25-08-2024,scale,X9A26O5V,yes
SGN-4-000032,bosuge32@arcline.io,17-09-2025,starter,CAQR2PIG,yes
,dotefa12@arcline.io,23-08-2024,scale,O4XWVZFZ,yes
SGN-4-000034,gacavu97@delta-post.net,03-06-2025,growth,6RLC0VE6,no
SGN-4-000035,danibo79@corvus.org,06-08-2024,scale,2WKRC17T,yes
SGN-4-000036,vapava56@eastwind.co,14-02-2024,starter,,yes
SGN-4-000037,cupuki44@delta-post.net,22-06-2024,starter,,no
SGN-4-000038,fidilu30@corvus.org,08-01-2025,starter,,no
SGN-4-000039,kuzafu89@delta-post.net,11-02-2024,starter,2D3OIJHJ,yes
SGN-4-000040,nusofo21@eastwind.co,11-06-2024,growth,,yes
SGN-4-000041,culoce83@arcline.io,01-01-2024,starter,,no
SGN-4-000042,kitoni28@brightmail.dev,22-02-2024,growth,EJCMGI01,yes
SGN-4-000043,tusaza73@brightmail.dev,10-01-2024,growth,,yes
SGN-4-000044,@delta-post.net,25-07-2024,starter,I1LK4Q12,no
SGN-4-000045,tegebu27@delta-post.net,05-05-2024,scale,,yes
SGN-4-000046,botoce90@eastwind.co,16-07-2025,scale,,no
SGN-4-000047,lusizo28@eastwind.co,28-04-2024,growth,GQM0ZR8E,no
SGN-4-000048,batupi44@delta-post.net,05-01-2025,growth,,no
SGN-4-000049,cecedi14@delta-post.net,18-01-2025,starter,,yes
SGN-4-000050,kuzono98@arcline.io,02-01-2025,scale,5QSLWGK9,yes
SGN-4-000051,nifagu48@brightmail.dev,16-08-2024,growth,QHDWTWV8,no
SGN-4-000052,timovu14@eastwind.co,23-11-2025,scale,,yes
SGN-4-000053,tidama41@corvus.org,04-05-2025,starter,KQB3H1AM,yes
SGN-4-000054,decupi86@arcline.io,09-03-2025,growth,7MPFAA9M,no
SGN-4-000055,sakiba20@brightmail.dev,05-08-2025,scale,XQV0MKHD,no
SGN-4-000056,mokipa57@arcline.io,15-02-2024,scale,4MC8UL20,yes
SGN-4-000057,lisuge93@delta-post.net,17-04-2024,growth,,no
SGN-4-000058,timive43@eastwind.co,17-05-2025,growth,XMOYWIZD,no
SGN-4-000059,lebali58@arcline.io,06-06-2025,growth,,yes
SGN-4-000060,sazode20@eastwind.co,16-08-2024,starter,7HKQORHS,yes
SGN-4-000061,namifa96@brightmail.dev,03-06-2025,scale,VCCDM5CR,yes
SGN-4-000062,banuto42@corvus.org,28-08-2025,growth,,yes
SGN-4-000063,cunagu73@eastwind.co,05-01-2024,scale,,yes
SGN-4-000064,decazu96@corvus.org,16-09-2024,starter,,no
SGN-4-000065,mukita11@eastwind.co,18-04-2024,growth,,no
SGN-4-000066,rovapo52@delta-post.net,14-08-2025,growth,,yes
SGN-4-000067,dirolo11@arcline.io,17-04-2025,starter,,no
SGN-4-000068,kimodo10@arcline.io,18-01-2025,scale,,yes
SGN-4-000069,merovu98@eastwind.co,16-07-2025,growth,22PJDA8V,yes
SGN-4-000070,foluba94@arcline.io,01-01-2025,starter,,no
