ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-6-000000,tesavo43@brightmail.dev,15-08-2025,starter,,no
SGN-6-000001,korane31@brightmail.dev,02-01-2024,starter,,yes
SGN-6-000002,mugetu30@brightmail.dev,13-08-2024,scale,,no
SGN-6-000003,mutimi79@delta-post.net,05-01-2025,starter,,no
SGN-6-000004,detuze66@arcline.io,05-11-2025,scale,QTPQZZ75,yes
SGN-6-000005,fatore70@delta-post.net,11-02-2024,growth,,no
SGN-6-000006,venodu57@eastwind.co,02-03-2024,growth,,yes
SGN-6-000007,temaro63@brightmail.dev,18-01-2025,starter,IYW0JT2T,yes
SGN-6-000008,bafara50@delta-post.net,27-11-2024,scale,QNJG4SZC,yes
SGN-6-000009,susado82@brightmail.dev,12-01-2024,starter,,no
SGN-6-000010,dicabu73@arcline.io,17-04-2024,scale,0P3FKEIA,yes
SGN-6-000011,vedevu39@eastwind.co,15-05-2024,starter,,no
SGN-6-000012,denuca10@eastwind.co,04-02-2024,starter,5B6ZZAM9,no
SGN-6-000013,puluta93@corvus.org,04-01-2024,growth,POBIJFF0,no
SGN-6-000014,dufira40@brightmail.dev,01-08-2025,scale,4F47XBT2,no
SGN-6-000015,nanena76@brightmail.dev,28-11-2025,scale,VXZVVG39,no
SGN-6-000016,secupe93@corvus.org,18-05-2025,starter,GEWXEE22,yes
SGN-6-000017,pupiti40@corvus.org,07-09-2025,starter,DLW136J9,yes
SGN-6-000018,vuputi32@corvus.org,24-05-2024,scale,M71APJJQ,yes
SGN-6-000019,@eastwind.co,04-10-2024,growth,L7A6FVXB,yes
SGN-6-000020,damare88@brightmail.dev,11-02-2025,starter,TG98WDKL,no
SGN-6-000021,vodedo68@delta-post.net,23-09-2025,growth,ZAVALP7M,no
SGN-6-000022,movepo55@delta-post.net,18-04-2025,starter,T7U2LB7Z,yes
SGN-6-000023,zecefe85@delta-post.net,18-01-2025,scale,H83MV2AV,yes
SGN-6-000024,vuvunu17@eastwind.co,25-10-2025,growth,1EOJ91D1,no
SGN-6-000025,bokoze51@corvus.org,09-06-2025,starter,HP8TBAOB,no
SGN-6-000026,parofa31@arcline.io,14-08-2025,growth,,yes
SGN-6-000027,vacage91@corvus.org,23-11-2025,scale,HKS60ULF,no
SGN-6-000028,nadofe91@delta-post.net,24-06-2025,starter,WP59SF3I,no
SGN-6-000029,@eastwind.co,15-08-2024,scale,ZF4RP11T,yes
SGN-6-000030,todepa85@eastwind.co,13-07-2025,starter,PD6SSGEO,yes
SGN-6-000031,kacile70@eastwind.co,18-04-2025,starter,,no
SGN-6-000032,vibilo71@corvus.org,03-08-2025,starter,0A8GIK10,yes
SGN-6-000033,vadira32@brightmail.dev,16-07-2024,scale,,yes
SGN-6-000034,nukele17@arcline.io,25-10-2025,growth,99VTLWYZ,no
SGN-6-000035,fudoto52@corvus.org,26-07-2024,scale,0XFI73MQ,no
SGN-6-000036,kanepi29@corvus.org,28-06-2025,starter,,yes
SGN-6-000037,focuvi33@corvus.org,27-08-2025,scale,B3LYIZAC,no
SGN-6-000038,mufira58@corvus.org,10-12-2024,growth,1806H2SW,yes
SGN-6-000039,zer odu20@brightmail.dev,11-11-2025,growth,,no
SGN-6-000040,putofo42@brightmail.dev,19-02-2025,growth,8K1JCJHY,no
SGN-6-000041,kopubi93@delta-post.net,16-02-2025,starter,,yes
SGN-6-000042,vaduta37@brightmail.dev,25-06-2024,scale,LZFZFE99,no
SGN-6-000043,dalicu74@arcline.io,28-01-2025,scale,BPO4XPLK,yes
,nodebo80@eastwind.co,04-09-2025,starter,SM1V6P0H,no
SGN-6-000045,tatapu50@delta-post.net,04-12-2024,scale,G03K9NR0,yes
SGN-6-000046,mugipe24@arcline.io,03-06-2024,starter,,no
SGN-6-000047,fukide67@delta-post.net,01-09-2025,starter,ZDX9R2C9,no
SGN-6-000048,lediba83@delta-post.net,08-12-2025,scale,49MV5AXS,no
SGN-6-000049,tovapa50@brightmail.dev,09-11-2024,starter,,no
SGN-6-000050,fisate99@eastwind.co,27-05-2025,growth,ZQMY46YR,yes
SGN-6-000051,difazu64@arcline.io,20-12-2024,starter,WUU8L36M,no
SGN-6-000052,dilora55@eastwind.co,17-12-2024,scale,F96CVUL1,no
SGN-6-000053,mefelo48@delta-post.net,13-11-2024,growth,IRD7WX1O,yes
SGN-6-000054,mifusi48@delta-post.net,12-05-2024,starter,,no
SGN-6-000055,temako54@corvus.org,06-06-2025,growth,T9EFMOUR,yes
SGN-6-000056,takoki57@eastwind.co,12-09-2025,starter,IV2PT19M,yes
SGN-6-000057,nikizo94@corvus.org,05-02-2025,scale,9TD4NKGB,yes
