ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-3-000000,sucina24@delta-post.net,07-09-2024,growth,Y2NMAS5Y,no
SGN-3-000001,nevezi40@delta-post.net,11-12-2025,scale,FRSR29AM,no
SGN-3-000002,zosele29@eastwind.co,16-08-2025,growth,M77U8ZOE,yes
SGN-3-000003,zutari33@eastwind.co,26-04-2025,scale,,no
SGN-3-000004,fudenu50@arcline.io,23-05-2024,starter,,no
SGN-3-000005,risele86@eastwind.co,17-07-2025,growth,GKIIEB3Z,yes
SGN-3-000006,sobevo49@corvus.org,18-10-2025,starter,ZCCPN8ZR,yes
SGN-3-000007,verofi90@corvus.org,05-11-2025,growth,0RA4K4OO,yes
SGN-3-000008,carupi98@eastwind.co,11-10-2024,starter,PX9M8XDE,yes
SGN-3-000009,doledu81@delta-post.net,08-08-2025,growth,6GZGO89U,no
SGN-3-000010,neramu41@brightmail.dev,17-10-2024,growth,M9BGO11S,yes
SGN-3-000011,cagagi34@corvus.org,24-06-2024,growth,ELGRF6RM,yes
SGN-3-000012,mukemu66@arcline.io,19-04-2025,scale,NY9GH881,yes
SGN-3-000013,mufudi22@arcline.io,21-11-2025,growth,5WSAIPRR,yes
SGN-3-000014,danovu24@delta-post.net,24-12-2024,starter,L92B8IOH,no
SGN-3-000015,cab udi53@arcline.io,03-02-2024,scale,HJN4W7JR,yes
SGN-3-000016,rilozu45@delta-post.net,,scale,9RIV66H9,yes
SGN-3-000017,rumuno23@corvus.org,22-09-2024,growth,,yes
SGN-3-000018,pupize25@intranet,14-04-2024,scale,USVGCY4L,no
SGN-3-000019,ruzaco97@corvus.org,19-11-2024,growth,,no
SGN-3-000020,nililo53@eastwind.co,26-04-2025,starter,,yes
SGN-3-000021,losafo52@brightmail.dev,03-02-2024,growth,,yes
SGN-3-000022,seloto38@eastwind.co,09-10-2025,growth,,yes
SGN-3-000023,mubusu39@corvus.org,17-04-2025,scale,MROKG3NW,no
SGN-3-000024,monele64@arcline.io,28-08-2024,scale,239DD01V,yes
SGN-3-000025,dukiba60@corvus.org,16-03-2024,scale,,yes
,camupo61@delta-post.net,07-02-2025,growth,,no
SGN-3-000027,lovora43@delta-post.net,09-10-2024,growth,HMK7U39J,no
SGN-3-000028,modoto99@brightmail.dev,18-01-2025,scale,,no
SGN-3-000029,becoli80@eastwind.co,19-09-2024,growth,292V904R,yes
SGN-3-000030,ladogu28@arcline.io,01-02-2025,scale,T42JS7DJ,yes
SGN-3-000031,ralusi40@eastwind.co,11-04-2025,scale,,yes
SGN-3-000032,porocu68@arcline.io,23-07-2024,growth,,yes
SGN-3-000033,docovo81@delta-post.net,15-12-2025,starter,R27KDDQC,yes
SGN-3-000034,fetevu95@brightmail.dev,23-01-2024,scale,,yes
SGN-3-000035,delopa63@brightmail.dev,19-05-2025,scale,,yes
SGN-3-000036,vifugu32@brightmail.dev,19-06-2025,starter,GNIMLVGC,yes
SGN-3-000037,nulupu73@corvus.org,04-12-2024,starter,,no
SGN-3-000038,cudika44@brightmail.dev,11-09-2024,starter,QXUTG9WS,yes
SGN-3-000039,dotito97@eastwind.co,12-06-2024,growth,,yes
SGN-3-000040,toreve69@corvus.org,19-12-2025,growth,1WAKA0P5,yes
SGN-3-000041,keveke16@brightmail.dev,09-07-2025,growth,,no
SGN-3-000042,gipasa55@delta-post.net,09-06-2025,growth,DL3RKLA4,no
SGN-3-000043,kosode96@brightmail.dev,20-07-2024,growth,,no
SGN-3-000044,lepate97@arcline.io,04-09-2024,scale,48X8WJPF,yes
SGN-3-000045,gasosi50@eastwind.co,05-10-2025,growth,IRUMZBIN,yes
SGN-3-000046,romoku36@corvus.org,21-09-2025,growth,AYOZ9FX7,yes
SGN-3-000047,basubo59@corvus.org,06-03-2025,scale,,yes
SGN-3-000048,firepu82@brightmail.dev,20-12-2024,growth,,no
SGN-3-000049,kogapi83@arcline.io,03-05-2024,starter,,no
SGN-3-000050,zizafa34@delta-post.net,27-12-2024,growth,8CJTUT2T,no
SGN-3-000051,duluvo30@brightmail.dev,12-03-2024,growth,CFSVC7T8,no
SGN-3-000052,sapaku59@brightmail.dev,22-06-2025,scale,24826E5E,yes
SGN-3-000053,redidi24@delta-post.net,12-03-2024,growth,9KIXA1LG,yes
SGN-3-000054,nepeko10@brightmail.dev,10-06-2024,starter,927W083E,no
SGN-3-000055,pevevu13@corvus.org,13-12-2024,scale,YLD7PJY1,no
SGN-3-000056,suzudo52@corvus.org,16-11-2025,growth,3DLR7TTP,no
SGN-3-000057,munero76@arcline.io,07-01-2025,scale,H0GZPVU3,no
SGN-3-000058,bepuza14@delta-post.net,16-04-2025,starter,MA4XFLGI,yes
SGN-3-000059,kibicu34@brightmail.dev,18-12-2025,starter,9QC25IJS,yes
SGN-3-000060,zukesu83@corvus.org,04-06-2024,starter,L3PHVSLQ,yes
SGN-3-000061,cubumi38@eastwind.co,02-12-2025,growth,UU9BASB0,yes
SGN-3-000062,niloga21@corvus.org,15-10-2025,scale,,yes
SGN-3-000063,bitopo63@eastwind.co,03-01-2024,growth,RR2W7QFN,no
SGN-3-000064,kebove22@delta-post.net,14-02-2025,starter,EIFIYC0D,yes
SGN-3-000065,metiko84@brightmail.dev,24-06-2025,starter,KCS1HZOT,no
