ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-7-000000,titemo41@brightmail.dev,18-02-2024,starter,IY52OV3F,yes
SGN-7-000001,zasavi16@delta-post.net,23-06-2024,scale,4OE6YXOO,no
SGN-7-000002,novalu22@delta-post.net,07-08-2025,starter,,yes
SGN-7-000003,pocisu67@arcline.io,12-11-2025,scale,5IZMXRFG,no
SGN-7-000004,gasafu67@brightmail.dev,28-10-2024,starter,,yes
SGN-7-000005,pezoku96@arcline.io,16-07-2025,growth,2XUS34GO,no
SGN-7-000006,camagi27@arcline.io,05-12-2025,starter,VT8MC1KM,yes
SGN-7-000007,kitoci97@eastwind.co,15-07-2024,starter,,yes
SGN-7-000008,vopoca46@eastwind.co,15-11-2024,growth,SEPHHO5F,no
SGN-7-000009,vineto27@corvus.org,25-10-2024,growth,NTOJ792A,yes
SGN-7-000010,vagemo90@delta-post.net,09-08-2025,growth,,yes
SGN-7-000011,ruparu10@delta-post.net,02-08-2025,growth,QCZ5Z54K,yes
SGN-7-000012,kogofa66@corvus.org,10-09-2025,growth,RUBF44BX,no
SGN-7-000013,dutele82@delta-post.net,27-12-2024,growth,Z5DBHYSO,no
SGN-7-000014,vekude18@delta-post.net,01-11-2024,starter,,yes
SGN-7-000015,pebato30@arcline.io,26-07-2024,growth,,no
SGN-7-000016,zamofa60@eastwind.co,14-06-2024,starter,,no
SGN-7-000017,likope28@eastwind.co,26-11-2024,growth,,yes
SGN-7-000018,tinuri42@arcline.io,24-02-2025,scale,YP098NXM,yes
SGN-7-000019,turico16@eastwind.co,20-11-2025,scale,Y1IHIB8M,no
SGN-7-000020,kelegu92@eastwind.co,11-07-2024,growth,XQH1WJSY,no
SGN-7-000021,civeze47@arcline.io,19-10-2024,scale,BQT8A5YA,no
SGN-7-000022,resedu80@delta-post.net,21-05-2024,scale,8IS3GXNH,yes
SGN-7-000023,tamevu72@brightmail.dev,02-11-2025,starter,5O7J1SYY,no
SGN-7-000024,fogize33@arcline.io,28-02-2024,growth,W7YOZN24,no
SGN-7-000025,fafunu71@brightmail.dev,03-09-2024,growth,GC6Z087Q,no
SGN-7-000026,sul are57@arcline.io,01-06-2025,growth,,no
SGN-7-000027,mizuzu96@eastwind.co,18-10-2025,starter,,yes
SGN-7-000028,datuno87@corvus.org,28-03-2024,scale,N5RBMY00,yes
SGN-7-000029,morire17@arcline.io,04-11-2024,scale,XQB2YYG3,no
SGN-7-000030,lugudi34@corvus.org,07-04-2025,starter,,yes
SGN-7-000031,murelo28@delta-post.net,12-01-2024,starter,61GO853M,yes
SGN-7-000032,rivigu85@delta-post.net,11-11-2025,starter,,yes
SGN-7-000033,loguno38@brightmail.dev,09-02-2025,scale,,no
SGN-7-000034,bazufu99@eastwind.co,11-09-2024,scale,D0D9DINN,no
SGN-7-000035,ravope50@corvus.org,09-08-2025,starter,JI9FI7KS,yes
SGN-7-000036,malupe96@corvus.org,20-09-2024,scale,FOT6ZPRS,no
SGN-7-000037,tilubu32@eastwind.co,20-11-2024,starter,BOW20UE7,yes
SGN-7-000038,nizege40@corvus.org,24-02-2024,growth,FI79DPAO,no
SGN-7-000039,ginedo50@@brightmail.dev,11-05-2024,starter,,no
SGN-7-000040,canofa51@delta-post.net,09-08-2024,scale,,yes
SGN-7-000041,vagudo89@corvus.org,08-04-2025,scale,,no
SGN-7-000042,numozo68@delta-post.net,20-02-2024,growth,3EBK8G5P,no
SGN-7-000043,vuzizi20@corvus.org,10-02-2025,starter,R4CU1SB7,yes
SGN-7-000044,mudozu98@eastwind.co,23-07-2024,starter,,yes
SGN-7-000045,fofesa23@brightmail.dev,09-07-2024,growth,TCLBA4CG,yes
SGN-7-000046,zuteli55@brightmail.dev,06-02-2025,growth,ROA806ZW,yes
SGN-7-000047,punato80@brightmail.dev,11-06-2025,starter,,yes
SGN-7-000048,calolo27@eastwind.co,07-07-2024,scale,HE9PI56T,yes
SGN-7-000049,zobato39@brightmail.dev,16-04-2025,growth,8M1D44YZ,no
SGN-7-000050,kubegi67@delta-post.net,20-03-2025,starter,,no
SGN-7-000051,kitiro71@delta-post.net,19-08-2025,growth,0MTDHQS6,yes
SGN-7-000052,bofasi43@eastwind.co,07-09-2025,scale,EM8DP3D7,no
SGN-7-000053,zetadi66@eastwind.co,07-10-2025,growth,DT3F5TUT,yes
