ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-1-000000,riruma55@delta-post.net,05-05-2025,growth,,no
SGN-1-000001,ratipu83@@brightmail.dev,16-12-2024,growth,,yes
SGN-1-000002,niguzu19@arcline.io,02-02-2024,growth,,no
,raroza20@brightmail.dev,06-11-2024,growth,CYPO6GW2,no
SGN-1-000004,guvoge73@arcline.io,13-01-2025,growth,IMP051T7,no
SGN-1-000005,milepo72@delta-post.net,23-08-2025,growth,662QDR99,no
SGN-1-000006,metecu29@eastwind.co,05-10-2025,starter,SGMJWP4G,no
SGN-1-000007,bomike81@delta-post.net,25-06-2024,growth,,no
SGN-1-000008,bidusu59@arcline.io,04-02-2024,growth,,yes
SGN-1-000009,copaca30@arcline.io,15-03-2024,growth,,no
SGN-1-000010,polace15@brightmail.dev,10-10-2024,growth,4RUPPUD9,yes
SGN-1-000011,bidoro95@corvus.org,11-06-2024,scale,,no
SGN-1-000012,nituta92@eastwind.co,21-02-2025,growth,,no
SGN-1-000013,gogace80@brightmail.dev,28-07-2025,scale,,no
SGN-1-000014,vucare32@eastwind.co,20-06-2025,scale,G8WLN6QP,yes
SGN-1-000015,vefadi74@brightmail.dev,19-08-2025,scale,,yes
SGN-1-000016,cumala83@brightmail.dev,19-07-2024,growth,DG1AVU1D,no
SGN-1-000017,zis ubu16@delta-post.net,08-06-2025,growth,WRYQ82N0,no
SGN-1-000018,@brightmail.dev,14-10-2025,scale,VMJ0V6MP,yes
SGN-1-000019,posini46@brightmail.dev,12-11-2024,scale,REIEQ9U7,yes
SGN-1-000020,sukegi92@eastwind.co,01-10-2024,scale,T82UVDDH,yes
SGN-1-000021,taketa38@brightmail.dev,18-09-2024,starter,SY472H26,no
SGN-1-000022,bekipo59@delta-post.net,07-05-2025,growth,EXRO8ST1,no
SGN-1-000023,fomusa43@eastwind.co,18-02-2025,scale,2W3LYRUR,yes
SGN-1-000024,vemucu64@brightmail.dev,11-07-2025,growth,Z1TLZKSS,yes
SGN-1-000025,cakuze16@arcline.io,16-04-2024,starter,FGE51JNM,no
SGN-1-000026,beneda14@@brightmail.dev,01-10-2025,starter,RTCD2U9J,yes
SGN-1-000027,gamili75@corvus.org,07-11-2024,growth,C11P91DL,yes
SGN-1-000028,tizubo72@delta-post.net,04-11-2024,scale,,yes
SGN-1-000029,cezodo99@delta-post.net,25-04-2024,growth,VGAMUVI9,yes
SGN-1-000030,minuse37@arcline.io,04-05-2025,growth,,yes
SGN-1-000031,kegapa16@eastwind.co,25-04-2025,scale,Y28BF9KM,no
SGN-1-000032,nubove51@arcline.io,11-04-2025,starter,,no
SGN-1-000033,kuzoge89@arcline.io,02-11-2025,scale,KKR03X40,yes
SGN-1-000034,gofugu89@brightmail.dev,19-10-2025,scale,90BFC1R4,yes
SGN-1-000035,nadite95@brightmail.dev,11-06-2024,starter,,yes
SGN-1-000036,tubupu84@eastwind.co,28-01-2025,scale,OG3ESWOX,yes
SGN-1-000037,sapebu60@corvus.org,12-01-2024,starter,MKNGQILJ,no
SGN-1-000038,pokuma10@arcline.io,20-03-2025,scale,,no
SGN-1-000039,locido26@corvus.org,21-01-2025,starter,G1B08S41,no
SGN-1-000040,tezesu70@corvus.org,13-01-2024,growth,763NQ3NN,no
SGN-1-000041,cibatu37@brightmail.dev,20-07-2024,growth,A4VUSXQT,no
SGN-1-000042,nafuca46@brightmail.dev,19-08-2024,growth,,yes
SGN-1-000043,dupuvi88@delta-post.net,05-09-2025,starter,RHXGRKAN,no
SGN-1-000044,carova74@eastwind.co,04-03-2024,growth,,no
SGN-1-000045,rirebo14@brightmail.dev,20-10-2025,starter,3BLHAK0J,no
SGN-1-000046,meduku38@eastwind.co,09-01-2025,growth,,yes
SGN-1-000047,berovo89@corvus.org,21-03-2025,growth,NSLXBFRM,yes
SGN-1-000048,natasu19@arcline.io,06-08-2025,scale,,no
,somepu91@arcline.io,20-07-2024,starter,,yes
SGN-1-000050,pitepi43@brightmail.dev,08-09-2024,starter,,no
SGN-1-000051,manose31@brightmail.dev,04-01-2024,starter,7IP189GT,no
SGN-1-000052,figore76@delta-post.net,09-07-2025,scale,,no
SGN-1-000053,zavuda65@brightmail.dev,20-11-2025,starter,,yes
SGN-1-000054,noloco78@eastwind.co,04-12-2025,growth,,yes
SGN-1-000055,sotocu95@brightmail.dev,20-01-2025,starter,,no
SGN-1-000056,vivena34@arcline.io,05-03-2025,scale,,no
SGN-1-000057,secare66@corvus.org,12-11-2024,starter,,yes
SGN-1-000058,zigudo67@arcline.io,16-04-2024,scale,C8TE8DO0,yes
SGN-1-000059,ridetu25@delta-post.net,17-07-2024,starter,AK6CKPDZ,yes
