ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-5-000000,ridubo35@arcline.io,09-11-2025,growth,0G0ZZ5QO,no
,rafemi75@brightmail.dev,13-03-2025,growth,,no
SGN-5-000002,mucoca59@corvus.org,04-12-2024,scale,3JI4O8M4,no
SGN-5-000003,fudiri65@brightmail.dev,11-09-2025,growth,Q6I7V83E,yes
SGN-5-000004,cusolo11@corvus.org,19-07-2025,scale,XTOI2KXM,yes
SGN-5-000005,mubati90@brightmail.dev,11-08-2024,growth,,yes
SGN-5-000006,kavude82@corvus.org,03-11-2024,starter,,yes
SGN-5-000007,rogeku19@brightmail.dev,01-07-2025,growth,,no
SGN-5-000008,vicata47@eastwind.co,01-05-2024,starter,,yes
SGN-5-000009,temete21@arcline.io,16-09-2025,growth,,yes
SGN-5-000010,togaca90@eastwind.co,02-05-2025,starter,F4HIQ5C3,yes
SGN-5-000011,lepado14@eastwind.co,10-03-2024,scale,,yes
SGN-5-000012,medose29@eastwind.co,13-11-2025,growth,,no
SGN-5-000013,folupa70@corvus.org,02-08-2024,starter,WXOWVM37,yes
SGN-5-000014,vosoke29@eastwind.co,22-11-2024,starter,,yes
SGN-5-000015,tigaga76@corvus.org,09-08-2024,starter,,yes
SGN-5-000016,tozibu98@brightmail.dev,08-03-2024,scale,,yes
SGN-5-000017,zemeba44@delta-post.net,17-06-2025,starter,,yes
SGN-5-000018,takuri22@delta-post.net,28-03-2025,starter,8Y6L6OI7,no
SGN-5-000019,merobe94@brightmail.dev,25-03-2025,growth,ULT40OMB,yes
SGN-5-000020,lomuze59@brightmail.dev,02-10-2024,scale,41VOPWR1,yes
SGN-5-000021,zutuba62@eastwind.co,05-06-2024,growth,5BVDM6CF,no
SGN-5-000022,zosita15@arcline.io,24-09-2024,starter,BOBHIPN5,yes
SGN-5-000023,samemu69@delta-post.net,27-08-2025,growth,,no
SGN-5-000024,lafato40@arcline.io,07-03-2024,growth,,no
SGN-5-000025,filopi93@brightmail.dev,17-04-2024,starter,,no
SGN-5-000026,nusola49@arcline.io,23-08-2024,growth,,yes
SGN-5-000027,goleca29@arcline.io,04-06-2025,starter,,no
SGN-5-000028,cuvecu30@corvus.org,07-12-2024,growth,,yes
SGN-5-000029,funora45@corvus.org,25-05-2025,growth,2SBCFF8R,no
SGN-5-000030,bezuke40@delta-post.net,19-12-2025,growth,,no
SGN-5-000031,losuga56@brightmail.dev,23-07-2025,growth,QH3QNRXQ,no
SGN-5-000032,vudali88@corvus.org,28-01-2024,starter,UBIN9YFE,no
SGN-5-000033,nanico87@eastwind.co,21-12-2025,growth,,no
SGN-5-000034,kopina50@eastwind.co,01-06-2024,starter,IOAMN3PA,no
SGN-5-000035,vavola98@brightmail.dev,20-07-2025,scale,,yes
SGN-5-000036,mizecu89@arcline.io,18-07-2025,scale,0DN1308Z,yes
SGN-5-000037,ligaco27@intranet,18-02-2025,growth,,no
SGN-5-000038,paleci55@eastwind.co,13-01-2025,starter,,yes
SGN-5-000039,casega24@eastwind.co,03-01-2025,growth,4OYCSLKN,no
SGN-5-000040,vupoda92@eastwind.co,26-02-2024,starter,,yes
SGN-5-000041,cepebo26@arcline.io,24-01-2025,starter,SWM1V3QS,yes
SGN-5-000042,zucabo10@corvus.org,04-03-2025,scale,CHGY49B1,no
SGN-5-000043,kocuda50@eastwind.co,15-02-2025,starter,,no
SGN-5-000044,kature32@corvus.org,22-01-2025,starter,,no
SGN-5-000045,sarima80@corvus.org,28-07-2024,growth,2L9BYE5U,yes
SGN-5-000046,vecoro48@brightmail.dev,17-06-2024,scale,1HKJREBZ,no
SGN-5-000047,paputu82@arcline.io,12-11-2025,growth,8NYXW5MY,yes
,ropibi50@arcline.io,14-09-2024,starter,,no
SGN-5-000049,mokima91@eastwind.co,02-04-2025,scale,,yes
SGN-5-000050,nivapo18@arcline.io,09-12-2025,starter,ZLDL7F7E,yes
SGN-5-000051,roneno85@brightmail.dev,25-07-2024,growth,081XADUT,yes
SGN-5-000052,sudope62@brightmail.dev,13-06-2025,growth,E5WX5S89,yes
SGN-5-000053,nanafu26@delta-post.net,17-10-2025,scale,CVQOP60Z,no
SGN-5-000054,rinotu77@arcline.io,25-01-2024,growth,9B92BDUB,no
SGN-5-000055,bekesu30@eastwind.co,01-03-2024,growth,,yes
SGN-5-000056,duzore92@corvus.org,03-03-2025,growth,,no
SGN-5-000057,fidafa87@delta-post.net,,growth,YFKS0JNE,yes
SGN-5-000058,mivini55@@delta-post.net,21-10-2025,scale,,yes
SGN-5-000059,setare30@delta-post.net,28-06-2025,scale,,no
,sufiza16@arcline.io,18-09-2025,starter,W2A7Q8L9,no
SGN-5-000061,tigaci19@delta-post.net,05-03-2025,growth,,yes
SGN-5-000062,cubusu14@delta-post.net,21-10-2025,scale,4KDJV6RU,no
SGN-5-000063,rilome44@delta-post.net,18-02-2025,scale,,no
SGN-5-000064,gifire33@eastwind.co,01-08-2025,scale,932JBU72,yes
SGN-5-000065,gapive58@eastwind.co,25-09-2024,scale,5CSZ7C5A,yes
SGN-5-000066,kacova51@delta-post.net,01-09-2024,growth,0W8IW3JS,no
SGN-5-000067,licuto84@brightmail.dev,07-08-2025,starter,,yes
SGN-5-000068,sezifi56@eastwind.co,22-02-2025,growth,H1PJ6NJN,no
SGN-5-000069,zulimu20@arcline.io,21-11-2024,growth,UBWDY9UH,no
SGN-5-000070,cuzufu98@arcline.io,21-02-2024,starter,4QZ88D6S,no
SGN-5-000071,bidove22@corvus.org,18-10-2024,growth,LHSKBX8B,no
SGN-5-000072,lacebo52@eastwind.co,12-02-2024,scale,,no
SGN-5-000073,firida41@delta-post.net,10-01-2025,growth,,yes
SGN-5-000074,kubuka43@corvus.org,16-03-2025,starter,7PI7S5RR,yes
SGN-5-000075,gizodo89@delta-post.net,12-02-2025,starter,2WBYJ45T,no
SGN-5-000076,cavufu67@delta-post.net,13-05-2025,growth,ZUDU91SE,yes
SGN-5-000077,ponobo83@brightmail.dev,10-07-2025,scale,,no
SGN-5-000078,lorobo13@corvus.org,27-01-2024,starter,,no
SGN-5-000079,pumigo42@intranet,03-11-2025,growth,J9SRNIHT,yes
SGN-5-000080,lunanu61@brightmail.dev,01-01-2024,scale,,yes
SGN-5-000081,suvagu94@eastwind.co,17-11-2024,starter,,no
SGN-5-000082,davali61@brightmail.dev,27-01-2025,growth,OJIL7ECR,yes
SGN-5-000083,nitenu58@arcline.io,21-08-2024,starter,MFNEF9YC,no
SGN-5-000084,sidazo27@arcline.io,26-09-2025,growth,OAFAU6P6,yes
SGN-5-000085,vicuta40@arcline.io,20-03-2024,starter,,no
SGN-5-000086,pofuli70@delta-post.net,07-05-2024,starter,XA5QYP3F,no
SGN-5-000087,cobosi84@delta-post.net,06-09-2025,starter,,no
SGN-5-000088,disine86@eastwind.co,24-12-2024,scale,2RWQAW9N,yes
SGN-5-000089,zomisi83@brightmail.dev,26-05-2025,starter,BABWI4PM,no
SGN-5-000090,midina58@brightmail.dev,22-10-2025,growth,353OTF5J,yes
SGN-5-000091,didici88@corvus.org,20-12-2024,starter,HG62XBUI,no
SGN-5-000092,fibuzu46@delta-post.net,07-02-2025,scale,XLGEY6UK,no
SGN-5-000093,mogucu19@eastwind.co,21-06-2025,scale,TLZ12TEB,yes
SGN-5-000094,cigimi18@brightmail.dev,10-05-2025,growth,PLKF9DKY,yes
SGN-5-000095,lerube73@eastwind.co,08-07-2024,growth,,yes
SGN-5-000096,zelete63@corvus.org,03-02-2024,growth,,no
SGN-5-000097,kunibi97@arcline.io,17-06-2025,scale,X4JLSL4E,no
